"cause","sex","age","n","rt_upper","rt_lower","rt"
"Poisonings","Females","25-29 years",302.013,6.02871,0.644257,2.92951
"Poisonings","Females","30-34 years",364.756,7.19573,0.786048,3.69547
"Poisonings","Females","35-39 years",484.496,9.53695,0.773186,4.89177
"Poisonings","Females","40-44 years",669.082,12.903,1.06146,6.43467
"Poisonings","Females","45-49 years",804.199,14.6553,0.953193,7.07383
"Poisonings","Females","50-54 years",686.375,12.8019,0.763789,6.11937
"Poisonings","Females","55-59 years",420.482,8.53203,0.551001,4.20317
"Poisonings","Females","60-64 years",229.894,5.58635,0.484206,2.65564
"Poisonings","Females","65-69 years",121.441,3.73469,0.468326,1.87753
"Poisonings","Females","70-74 years",87.9568,3.35394,0.580952,1.7571
"Poisonings","Females","75-79 years",91.1306,4.37671,0.683611,2.19183
"Poisonings","Females","80+ years",317.585,8.23389,1.44207,4.33094
"Peripheral vascular disease","Males","5-9 years",0,0,0,0
"Peripheral vascular disease","Males","10-14 years",0,0,0,0
"Peripheral vascular disease","Males","15-19 years",0,0,0,0
"Peripheral vascular disease","Males","20-24 years",0,0,0,0
"Peripheral vascular disease","Males","25-29 years",0,0,0,0
"Peripheral vascular disease","Males","30-34 years",0,0,0,0
"Peripheral vascular disease","Males","35-39 years",0,0,0,0
"Peripheral vascular disease","Males","40-44 years",13.61,0.293012,0.0363175,0.130251
"Peripheral vascular disease","Males","45-49 years",35.1021,0.771988,0.0984325,0.314423
"Peripheral vascular disease","Males","50-54 years",74.91,1.75381,0.210617,0.692201
"Peripheral vascular disease","Males","55-59 years",125.39,3.2185,0.38585,1.32764
"Peripheral vascular disease","Males","60-64 years",225.713,7.13622,0.883765,2.82482
"Peripheral vascular disease","Males","65-69 years",292.725,12.1237,1.50327,5.12076
"Peripheral vascular disease","Males","70-74 years",376.256,21.1576,3.13084,9.01261
"Peripheral vascular disease","Males","75-79 years",486.323,33.0658,5.54707,15.4042
"Peripheral vascular disease","Males","80+ years",1932.41,95.9434,14.56,46.3511
"Peripheral vascular disease","Females","5-9 years",0,0,0,0
"Peripheral vascular disease","Females","10-14 years",0,0,0,0
"Peripheral vascular disease","Females","15-19 years",0,0,0,0
"Peripheral vascular disease","Females","20-24 years",0,0,0,0
"Peripheral vascular disease","Females","25-29 years",0,0,0,0
"Peripheral vascular disease","Females","30-34 years",0,0,0,0
"Peripheral vascular disease","Females","35-39 years",0,0,0,0
"Peripheral vascular disease","Females","40-44 years",19.6277,0.48284,0.0667469,0.188763
"Peripheral vascular disease","Females","45-49 years",37.5812,0.858096,0.105785,0.330569
"Peripheral vascular disease","Females","50-54 years",73.8705,1.60683,0.230861,0.658591
"Peripheral vascular disease","Females","55-59 years",118.976,3.07272,0.399195,1.18929
"Peripheral vascular disease","Females","60-64 years",221.341,6.00584,0.784058,2.55684
"Peripheral vascular disease","Females","65-69 years",295.151,11.3427,1.532,4.56316
"Peripheral vascular disease","Females","70-74 years",428.276,19.6581,3.30357,8.55562
"Peripheral vascular disease","Females","75-79 years",648.817,34.1993,6.18046,15.6051
"Peripheral vascular disease","Females","80+ years",5004.47,156.276,27.5734,68.2465
"Preterm birth complications","Males","0-6 days",3882.53,11591.7,7002.15,9211.01
"Preterm birth complications","Males","7-27 days",594.637,647.218,318.998,471.354
"Preterm birth complications","Males","28-364 days",1244.75,114.528,26.3617,61.7408
"Preterm birth complications","Males","1-4 years",42.0276,0.971105,0.14526,0.489528
"Preterm birth complications","Males","5-9 years",0,0,0,0
"Preterm birth complications","Males","10-14 years",0,0,0,0
"Preterm birth complications","Males","15-19 years",0,0,0,0
"Preterm birth complications","Males","20-24 years",0,0,0,0
"Preterm birth complications","Males","25-29 years",0,0,0,0
"Preterm birth complications","Males","30-34 years",0,0,0,0
"Preterm birth complications","Males","35-39 years",0,0,0,0
"Preterm birth complications","Males","40-44 years",0,0,0,0
"Preterm birth complications","Males","45-49 years",0,0,0,0
"Preterm birth complications","Males","50-54 years",0,0,0,0
"Preterm birth complications","Males","55-59 years",0,0,0,0
"Preterm birth complications","Males","60-64 years",0,0,0,0
"Preterm birth complications","Males","65-69 years",0,0,0,0
"Preterm birth complications","Males","70-74 years",0,0,0,0
"Preterm birth complications","Males","75-79 years",0,0,0,0
"Preterm birth complications","Males","80+ years",0,0,0,0
"Preterm birth complications","Females","0-6 days",2981.19,9991.79,5232.62,7417.56
"Preterm birth complications","Females","7-27 days",427.165,527.976,233.825,354.989
"Preterm birth complications","Females","28-364 days",780.506,82.8954,16.9573,40.5748
"Preterm birth complications","Females","1-4 years",28.0989,0.708379,0.125916,0.342778
"Preterm birth complications","Females","5-9 years",0,0,0,0
"Preterm birth complications","Females","10-14 years",0,0,0,0
"Preterm birth complications","Females","15-19 years",0,0,0,0
"Preterm birth complications","Females","20-24 years",0,0,0,0
"Preterm birth complications","Females","25-29 years",0,0,0,0
"Preterm birth complications","Females","30-34 years",0,0,0,0
"Preterm birth complications","Females","35-39 years",0,0,0,0
"Preterm birth complications","Females","40-44 years",0,0,0,0
"Preterm birth complications","Females","45-49 years",0,0,0,0
"Preterm birth complications","Females","50-54 years",0,0,0,0
"Preterm birth complications","Females","55-59 years",0,0,0,0
"Preterm birth complications","Females","60-64 years",0,0,0,0
"Preterm birth complications","Females","65-69 years",0,0,0,0
"Preterm birth complications","Females","70-74 years",0,0,0,0
"Preterm birth complications","Females","75-79 years",0,0,0,0
"Preterm birth complications","Females","80+ years",0,0,0,0
"Diarrheal diseases","Males","0-6 days",2.11337,10.24,2.18403,5.01382
"Diarrheal diseases","Males","7-27 days",3.09544,5.00223,1.0374,2.45368
"Diarrheal diseases","Males","28-364 days",35.2495,3.36048,0.763224,1.74841
"Diarrheal diseases","Males","1-4 years",14.163,0.306405,0.0760704,0.164968
"Diarrheal diseases","Males","5-9 years",3.30294,0.0657182,0.0127528,0.0315031
"Diarrheal diseases","Males","10-14 years",2.19723,0.0414861,0.00930598,0.0217551
"Diarrheal diseases","Males","15-19 years",4.64056,0.0831764,0.0181085,0.0432426
"Diarrheal diseases","Males","20-24 years",7.89615,0.128201,0.0332945,0.0724919
"Diarrheal diseases","Males","25-29 years",9.69287,0.161203,0.0405158,0.0887349
"Diarrheal diseases","Males","30-34 years",13.6239,0.236531,0.0618635,0.133314
"Diarrheal diseases","Males","35-39 years",17.8107,0.310736,0.0809006,0.176695
"Diarrheal diseases","Males","40-44 years",35.9944,0.607363,0.16468,0.344474
"Diarrheal diseases","Males","45-49 years",64.2833,0.998044,0.285161,0.575809
"Diarrheal diseases","Males","50-54 years",107.119,1.77109,0.463623,0.989824
"Diarrheal diseases","Males","55-59 years",100.258,2.014,0.466236,1.06153
"Diarrheal diseases","Males","60-64 years",151.6,3.56923,0.824267,1.89729
"Diarrheal diseases","Males","65-69 years",213.724,7.22499,1.50987,3.73876
"Diarrheal diseases","Males","70-74 years",306.634,13.6541,2.87688,7.34494
"Diarrheal diseases","Males","75-79 years",482.775,28.8559,6.19414,15.2918
"Diarrheal diseases","Males","80+ years",2017.73,87.3605,21.2453,48.3975
"Diarrheal diseases","Females","0-6 days",1.76511,8.93408,1.77663,4.39181
"Diarrheal diseases","Females","7-27 days",2.50801,4.05458,0.932689,2.08424
"Diarrheal diseases","Females","28-364 days",25.0942,2.50431,0.615249,1.30453
"Diarrheal diseases","Females","1-4 years",11.4629,0.258199,0.0632373,0.139836
"Diarrheal diseases","Females","5-9 years",2.82699,0.0561854,0.011944,0.0281975
"Diarrheal diseases","Females","10-14 years",2.54523,0.0498688,0.0119102,0.0263858
"Diarrheal diseases","Females","15-19 years",3.09542,0.0591224,0.0137718,0.0302655
"Diarrheal diseases","Females","20-24 years",6.06243,0.114568,0.0262668,0.0586777
"Diarrheal diseases","Females","25-29 years",8.90929,0.154303,0.0407623,0.0864195
"Diarrheal diseases","Females","30-34 years",12.2578,0.233688,0.062227,0.124188
"Diarrheal diseases","Females","35-39 years",19.0783,0.358342,0.0965413,0.192626
"Diarrheal diseases","Females","40-44 years",34.8077,0.604019,0.176459,0.334752
"Diarrheal diseases","Females","45-49 years",66.1772,1.0213,0.309445,0.582103
"Diarrheal diseases","Females","50-54 years",103.67,1.62482,0.481098,0.924269
"Diarrheal diseases","Females","55-59 years",105.105,1.96797,0.497527,1.05063
"Diarrheal diseases","Females","60-64 years",172.094,3.71731,0.960242,1.98796
"Diarrheal diseases","Females","65-69 years",248.138,7.0196,1.70523,3.83632
"Diarrheal diseases","Females","70-74 years",394.725,14.7546,3.69562,7.88538
"Diarrheal diseases","Females","75-79 years",620.665,27.741,7.3885,14.9279
"Diarrheal diseases","Females","80+ years",4218.57,110.522,27.8329,57.5291
"Alcohol use disorders","Males","0-6 days",0,0,0,0
"Alcohol use disorders","Males","7-27 days",0,0,0,0
"Alcohol use disorders","Males","28-364 days",0,0,0,0
"Alcohol use disorders","Males","1-4 years",0,0,0,0
"Alcohol use disorders","Males","5-9 years",0,0,0,0
"Alcohol use disorders","Males","10-14 years",0,0,0,0
"Alcohol use disorders","Males","15-19 years",36.4609,0.762291,0.122944,0.339756
"Alcohol use disorders","Males","20-24 years",77.8075,1.58709,0.223458,0.714325
"Alcohol use disorders","Males","25-29 years",131.718,3.01046,0.437716,1.20583
"Alcohol use disorders","Males","30-34 years",192.251,4.63554,0.680683,1.88124
"Alcohol use disorders","Males","35-39 years",349.434,8.29824,1.30644,3.46663
"Alcohol use disorders","Males","40-44 years",691.14,14.877,2.73981,6.61436
"Alcohol use disorders","Males","45-49 years",1080.06,21.1894,4.07082,9.67447
"Alcohol use disorders","Males","50-54 years",1242.68,26.4934,4.84548,11.4829
"Alcohol use disorders","Males","55-59 years",1101.61,26.1433,4.26745,11.6639
"Alcohol use disorders","Males","60-64 years",910.859,26.5353,4.77937,11.3995
"Alcohol use disorders","Males","65-69 years",587.219,23.1095,4.19998,10.2725
"Alcohol use disorders","Males","70-74 years",357.202,20.0952,3.53292,8.5562
"Alcohol use disorders","Males","75-79 years",243.756,17.6094,3.08914,7.72093
"Alcohol use disorders","Males","80+ years",281.466,16.0447,2.45059,6.75129
"Alcohol use disorders","Females","0-6 days",0,0,0,0
"Alcohol use disorders","Females","7-27 days",0,0,0,0
"Alcohol use disorders","Females","28-364 days",0,0,0,0
"Alcohol use disorders","Females","1-4 years",0,0,0,0
"Alcohol use disorders","Females","5-9 years",0,0,0,0
"Alcohol use disorders","Females","10-14 years",0,0,0,0
"Alcohol use disorders","Females","15-19 years",8.34152,0.189696,0.0187209,0.0815594
"Alcohol use disorders","Females","20-24 years",14.4986,0.31059,0.0443028,0.14033
"Alcohol use disorders","Females","25-29 years",31.5233,0.77731,0.0957801,0.305773
"Alcohol use disorders","Females","30-34 years",62.1955,1.6561,0.199889,0.630125
"Alcohol use disorders","Females","35-39 years",134.476,3.63959,0.436862,1.35775
"Alcohol use disorders","Females","40-44 years",241.639,6.26706,0.727233,2.32388
"Alcohol use disorders","Females","45-49 years",350.7,7.2789,0.967271,3.0848
"Alcohol use disorders","Females","50-54 years",342.553,7.65007,1.02612,3.05403
"Alcohol use disorders","Females","55-59 years",285.862,7.59453,0.977039,2.85749
"Alcohol use disorders","Females","60-64 years",241.264,7.3854,0.868927,2.78698
"Alcohol use disorders","Females","65-69 years",158.412,6.1426,0.802059,2.44912
"Alcohol use disorders","Females","70-74 years",100.561,5.50327,0.707206,2.00889
"Alcohol use disorders","Females","75-79 years",64.3553,3.98032,0.442069,1.54784
"Alcohol use disorders","Females","80+ years",113.188,3.68285,0.447065,1.54356
"Other urinary diseases","Males","0-6 days",5.88217,35.7189,3.61557,13.955
"Other urinary diseases","Males","7-27 days",4.09568,9.42715,0.461058,3.24654
"Other urinary diseases","Males","28-364 days",11.8072,1.28193,0.195614,0.585647
"Other urinary diseases","Males","1-4 years",5.66068,0.153449,0.0253609,0.0659342
"Other urinary diseases","Males","5-9 years",1.73093,0.036709,0.00639475,0.0165094
"Other urinary diseases","Males","10-14 years",2.02869,0.0377191,0.00884274,0.0200864
"Other urinary diseases","Males","15-19 years",4.84336,0.110647,0.015947,0.0451323
"Other urinary diseases","Males","20-24 years",11.1121,0.264251,0.0378401,0.102017
"Other urinary diseases","Males","25-29 years",15.1699,0.368022,0.0440784,0.138875
"Other urinary diseases","Males","30-34 years",20.6102,0.502524,0.0708423,0.201677
"Other urinary diseases","Males","35-39 years",33.0862,0.785795,0.123989,0.328238
"Other urinary diseases","Males","40-44 years",55.2482,1.2934,0.184883,0.528737
"Other urinary diseases","Males","45-49 years",96.5926,2.07011,0.340827,0.865216
"Other urinary diseases","Males","50-54 years",142.932,3.37811,0.49452,1.32075
"Other urinary diseases","Males","55-59 years",203.254,5.14371,0.866279,2.15206
"Other urinary diseases","Males","60-64 years",276.819,8.54888,1.56632,3.46443
"Other urinary diseases","Males","65-69 years",305.113,12.359,2.41429,5.33748
"Other urinary diseases","Males","70-74 years",380.126,20.9941,3.95465,9.10531
"Other urinary diseases","Males","75-79 years",475.99,35.942,6.40421,15.0769
"Other urinary diseases","Males","80+ years",1739.66,97.1211,16.2569,41.7277
"Other urinary diseases","Females","0-6 days",3.30807,22.0251,2.10462,8.23086
"Other urinary diseases","Females","7-27 days",2.2875,5.48174,0.519299,1.90099
"Other urinary diseases","Females","28-364 days",6.8587,0.730353,0.17433,0.356552
"Other urinary diseases","Females","1-4 years",4.89396,0.109872,0.0326957,0.0597014
"Other urinary diseases","Females","5-9 years",2.36148,0.0544253,0.00896898,0.0235543
"Other urinary diseases","Females","10-14 years",3.37054,0.0629934,0.0180044,0.0349416
"Other urinary diseases","Females","15-19 years",5.89504,0.112495,0.0265689,0.0576388
"Other urinary diseases","Females","20-24 years",9.64664,0.207288,0.0369383,0.0933689
"Other urinary diseases","Females","25-29 years",16.5353,0.334028,0.0711862,0.160391
"Other urinary diseases","Females","30-34 years",21.1386,0.503047,0.0945786,0.214163
"Other urinary diseases","Females","35-39 years",31.2199,0.644558,0.124338,0.315215
"Other urinary diseases","Females","40-44 years",54.9969,1.08911,0.210689,0.528914
"Other urinary diseases","Females","45-49 years",96.0408,1.5942,0.396055,0.844786
"Other urinary diseases","Females","50-54 years",150.372,2.52842,0.603068,1.34064
"Other urinary diseases","Females","55-59 years",198.577,4.00205,0.95429,1.98499
"Other urinary diseases","Females","60-64 years",256.091,5.90456,1.45099,2.95826
"Other urinary diseases","Females","65-69 years",310.326,9.36388,2.44409,4.79778
"Other urinary diseases","Females","70-74 years",404.422,15.5994,4.20266,8.07911
"Other urinary diseases","Females","75-79 years",567.507,26.1205,6.90439,13.6494
"Other urinary diseases","Females","80+ years",3199.75,85.4185,21.0807,43.6354
"Nutritional deficiencies","Males","28-364 days",6.03561,0.628423,0.12616,0.299373
"Nutritional deficiencies","Males","1-4 years",4.97302,0.122461,0.0222028,0.0579246
"Nutritional deficiencies","Males","5-9 years",1.70441,0.0322041,0.00592919,0.0162565
"Nutritional deficiencies","Males","10-14 years",1.91231,0.0409494,0.00643013,0.0189341
"Nutritional deficiencies","Males","15-19 years",3.63185,0.0691289,0.0131084,0.033843
"Nutritional deficiencies","Males","20-24 years",4.38601,0.0798054,0.0172437,0.0402665
"Nutritional deficiencies","Males","25-29 years",7.5045,0.135127,0.0277457,0.0687011
"Nutritional deficiencies","Males","30-34 years",6.61883,0.125142,0.0278163,0.0647673
"Nutritional deficiencies","Males","35-39 years",10.5696,0.208773,0.0487951,0.104858
"Nutritional deficiencies","Males","40-44 years",19.6849,0.353832,0.0872701,0.188388
"Nutritional deficiencies","Males","45-49 years",35.6618,0.612737,0.134003,0.319436
"Nutritional deficiencies","Males","50-54 years",58.4608,0.984139,0.256888,0.540203
"Nutritional deficiencies","Males","55-59 years",76.707,1.46312,0.397966,0.812175
"Nutritional deficiencies","Males","60-64 years",114.053,2.57692,0.702099,1.42739
"Nutritional deficiencies","Males","65-69 years",138.051,4.19344,1.16849,2.41498
"Nutritional deficiencies","Males","70-74 years",193.479,7.85062,2.3035,4.63449
"Nutritional deficiencies","Males","75-79 years",287.526,14.8918,4.6936,9.10734
"Nutritional deficiencies","Males","80+ years",1675.24,67.8691,21.3988,40.1826
"Nutritional deficiencies","Females","28-364 days",4.81451,0.531672,0.103676,0.250284
"Nutritional deficiencies","Females","1-4 years",4.50382,0.120837,0.0201905,0.0549421
"Nutritional deficiencies","Females","5-9 years",1.89991,0.0413036,0.00615143,0.0189504
"Nutritional deficiencies","Females","10-14 years",2.06129,0.0460268,0.00614262,0.0213689
"Nutritional deficiencies","Females","15-19 years",3.07154,0.0648347,0.00988137,0.030032
"Nutritional deficiencies","Females","20-24 years",3.90148,0.0781985,0.0144973,0.037762
"Nutritional deficiencies","Females","25-29 years",5.41626,0.101935,0.0224729,0.0525373
"Nutritional deficiencies","Females","30-34 years",7.34814,0.140195,0.0333733,0.0744467
"Nutritional deficiencies","Females","35-39 years",14.5079,0.286478,0.0613019,0.146481
"Nutritional deficiencies","Females","40-44 years",23.3089,0.45609,0.0989419,0.224165
"Nutritional deficiencies","Females","45-49 years",42.964,0.708003,0.156525,0.377916
"Nutritional deficiencies","Females","50-54 years",54.2853,0.94676,0.191033,0.48398
"Nutritional deficiencies","Females","55-59 years",76.9442,1.49065,0.289896,0.769139
"Nutritional deficiencies","Females","60-64 years",111.741,2.48014,0.483337,1.29079
"Nutritional deficiencies","Females","65-69 years",136.274,3.57198,0.894724,2.10686
"Nutritional deficiencies","Females","70-74 years",218.649,7.80623,1.90105,4.36792
"Nutritional deficiencies","Females","75-79 years",363.915,14.7819,4.16775,8.75273
"Nutritional deficiencies","Females","80+ years",3608.08,78.4682,24.8614,49.2038
"Rheumatic heart disease","Males","1-4 years",1.55206,0.033447,0.00854701,0.018078
"Rheumatic heart disease","Males","5-9 years",0.8762,0.0146989,0.00426591,0.00835711
"Rheumatic heart disease","Males","10-14 years",1.26151,0.0219627,0.00651973,0.0124905
"Rheumatic heart disease","Males","15-19 years",3.74044,0.0651079,0.0177633,0.0348549
"Rheumatic heart disease","Males","20-24 years",5.93076,0.118082,0.0280683,0.0544483
"Rheumatic heart disease","Males","25-29 years",10.1187,0.154706,0.0528304,0.0926336
"Rheumatic heart disease","Males","30-34 years",13.5764,0.236772,0.07553,0.132849
"Rheumatic heart disease","Males","35-39 years",17.8108,0.32692,0.100281,0.176696
"Rheumatic heart disease","Males","40-44 years",29.354,0.517655,0.164008,0.280924
"Rheumatic heart disease","Males","45-49 years",56.8552,0.921747,0.319653,0.509273
"Rheumatic heart disease","Males","50-54 years",75.6592,1.24498,0.438648,0.699124
"Rheumatic heart disease","Males","55-59 years",99.6675,1.77237,0.696012,1.05528
"Rheumatic heart disease","Males","60-64 years",132.407,2.74735,1.12857,1.65709
"Rheumatic heart disease","Males","65-69 years",152.166,3.96735,1.77913,2.66191
"Rheumatic heart disease","Males","70-74 years",194.781,6.68589,3.21369,4.66567
"Rheumatic heart disease","Males","75-79 years",275.965,12.4972,5.44457,8.74116
"Rheumatic heart disease","Males","80+ years",1125.94,39.0207,16.6943,27.0071
"Rheumatic heart disease","Females","1-4 years",1.13311,0.0231688,0.00725989,0.0138228
"Rheumatic heart disease","Females","5-9 years",0.698477,0.0124587,0.00357968,0.00696688
"Rheumatic heart disease","Females","10-14 years",1.30955,0.0231272,0.00733448,0.0135758
"Rheumatic heart disease","Females","15-19 years",2.62914,0.04731,0.0132815,0.0257064
"Rheumatic heart disease","Females","20-24 years",6.32377,0.109005,0.0323078,0.0612071
"Rheumatic heart disease","Females","25-29 years",9.4451,0.167569,0.0484102,0.0916168
"Rheumatic heart disease","Females","30-34 years",11.9071,0.206726,0.0660962,0.120635
"Rheumatic heart disease","Females","35-39 years",19.0872,0.333746,0.10975,0.192716
"Rheumatic heart disease","Females","40-44 years",39.7489,0.592319,0.237994,0.382272
"Rheumatic heart disease","Females","45-49 years",66.4178,0.897747,0.38052,0.584219
"Rheumatic heart disease","Females","50-54 years",87.7721,1.22317,0.504438,0.78253
"Rheumatic heart disease","Females","55-59 years",130.691,1.91191,0.893695,1.3064
"Rheumatic heart disease","Females","60-64 years",198.942,3.27459,1.59522,2.29809
"Rheumatic heart disease","Females","65-69 years",240.22,5.08447,2.74083,3.71391
"Rheumatic heart disease","Females","70-74 years",344.367,9.29826,5.12914,6.87939
"Rheumatic heart disease","Females","75-79 years",477.853,15.8253,8.0555,11.4931
"Rheumatic heart disease","Females","80+ years",3036.79,57.1582,27.6655,41.413
"Uterine cancer","Females","15-19 years",0.503042,0.0148375,0.00135766,0.0049185
"Uterine cancer","Females","20-24 years",1.09595,0.0258171,0.00346581,0.0106076
"Uterine cancer","Females","25-29 years",3.95876,0.0962425,0.0116771,0.0383997
"Uterine cancer","Females","30-34 years",9.91305,0.233225,0.0286964,0.100433
"Uterine cancer","Females","35-39 years",26.2768,0.539258,0.110991,0.265306
"Uterine cancer","Females","40-44 years",57.345,1.07546,0.22023,0.551496
"Uterine cancer","Females","45-49 years",120.098,2.03672,0.422179,1.0564
"Uterine cancer","Females","50-54 years",251.21,3.96681,1.00446,2.23966
"Uterine cancer","Females","55-59 years",476.551,7.85682,1.93549,4.76364
"Uterine cancer","Females","60-64 years",783.223,14.5932,3.88372,9.04746
"Uterine cancer","Females","65-69 years",893.763,24.3519,6.08682,13.818
"Uterine cancer","Females","70-74 years",860.795,31.2249,8.5299,17.196
"Uterine cancer","Females","75-79 years",812.085,33.4686,9.77603,19.5319
"Uterine cancer","Females","80+ years",1996.33,51.3489,11.8935,27.2242
"Cervical cancer","Females","15-19 years",2.12943,0.0490222,0.00661975,0.0208206
"Cervical cancer","Females","20-24 years",19.7915,0.409069,0.0652633,0.19156
"Cervical cancer","Females","25-29 years",66.5735,1.22595,0.304111,0.645759
"Cervical cancer","Females","30-34 years",143.664,2.53837,0.773445,1.45551
"Cervical cancer","Females","35-39 years",261.202,4.12218,1.48742,2.63725
"Cervical cancer","Females","40-44 years",397.355,6.2806,2.20848,3.82143
"Cervical cancer","Females","45-49 years",565.467,8.31126,2.97521,4.97391
"Cervical cancer","Females","50-54 years",683.552,10.3369,3.36998,6.09419
"Cervical cancer","Females","55-59 years",689.516,11.1651,3.43417,6.89245
"Cervical cancer","Females","60-64 years",689.386,13.1595,4.56624,7.9635
"Cervical cancer","Females","65-69 years",580.116,13.9365,5.10504,8.96885
"Cervical cancer","Females","70-74 years",508.96,16.9616,5.67473,10.1674
"Cervical cancer","Females","75-79 years",463.204,20.0057,6.12966,11.1408
"Cervical cancer","Females","80+ years",1170.94,28.6755,9.55194,15.9682
"Mouth cancer","Males","15-19 years",3.7544,0.0840849,0.0114973,0.034985
"Mouth cancer","Males","20-24 years",5.01159,0.0998109,0.016833,0.0460097
"Mouth cancer","Males","25-29 years",9.54207,0.180602,0.0328483,0.0873544
"Mouth cancer","Males","30-34 years",14.8477,0.326839,0.05554,0.145289
"Mouth cancer","Males","35-39 years",31.7844,0.603245,0.142927,0.315324
"Mouth cancer","Males","40-44 years",72.9834,1.16121,0.373891,0.698467
"Mouth cancer","Males","45-49 years",172.789,2.49213,0.886339,1.54773
"Mouth cancer","Males","50-54 years",331.146,4.66964,1.9178,3.05993
"Mouth cancer","Males","55-59 years",434.099,6.92632,2.99945,4.59624
"Mouth cancer","Males","60-64 years",537.689,9.88011,4.25402,6.72925
"Mouth cancer","Males","65-69 years",482.091,12.8159,5.41562,8.43342
"Mouth cancer","Males","70-74 years",399.927,14.3355,6.05723,9.57961
"Mouth cancer","Males","75-79 years",367.132,17.3606,7.24575,11.6288
"Mouth cancer","Males","80+ years",698.692,26.959,9.71484,16.7589
"Mouth cancer","Females","15-19 years",2.25724,0.0686065,0.00384228,0.0220702
"Mouth cancer","Females","20-24 years",4.47464,0.135461,0.00947086,0.0433096
"Mouth cancer","Females","25-29 years",6.4031,0.155013,0.0127997,0.0621096
"Mouth cancer","Females","30-34 years",10.7543,0.3,0.0300592,0.108956
"Mouth cancer","Females","35-39 years",18.0507,0.401009,0.0661274,0.18225
"Mouth cancer","Females","40-44 years",36.8597,0.624377,0.156404,0.354486
"Mouth cancer","Females","45-49 years",73.6639,1.14398,0.320795,0.647956
"Mouth cancer","Females","50-54 years",122.365,1.96668,0.545695,1.09094
"Mouth cancer","Females","55-59 years",166.582,3.00859,0.839923,1.66517
"Mouth cancer","Females","60-64 years",211.604,4.50208,1.28745,2.44436
"Mouth cancer","Females","65-69 years",226.104,5.76071,1.89172,3.49567
"Mouth cancer","Females","70-74 years",227.735,7.51371,2.5695,4.54943
"Mouth cancer","Females","75-79 years",239.632,9.60916,3.23733,5.76352
"Mouth cancer","Females","80+ years",764.309,17.4412,6.12625,10.423
"Congenital heart anomalies","Males","0-6 days",276.91,1246.54,332.243,656.947
"Congenital heart anomalies","Males","7-27 days",175.241,238.574,86.4483,138.91
"Congenital heart anomalies","Males","28-364 days",316.463,25.2174,8.91824,15.6969
"Congenital heart anomalies","Males","1-4 years",132.023,3.40493,0.693392,1.53778
"Congenital heart anomalies","Males","5-9 years",39.1625,0.660009,0.180851,0.373528
"Congenital heart anomalies","Males","10-14 years",44.9878,0.79962,0.191997,0.445432
"Congenital heart anomalies","Males","15-19 years",83.6092,1.39098,0.364736,0.779103
"Congenital heart anomalies","Males","20-24 years",84.8509,1.45278,0.373995,0.778988
"Congenital heart anomalies","Males","25-29 years",80.346,1.43405,0.332927,0.73554
"Congenital heart anomalies","Males","30-34 years",66.9583,1.38845,0.260852,0.655207
"Congenital heart anomalies","Males","35-39 years",70.2856,1.48817,0.255099,0.697282
"Congenital heart anomalies","Males","40-44 years",81.4814,1.53459,0.320955,0.779794
"Congenital heart anomalies","Males","45-49 years",89.419,1.5137,0.317198,0.800959
"Congenital heart anomalies","Males","50-54 years",81.6293,1.35163,0.330501,0.75429
"Congenital heart anomalies","Males","55-59 years",74.6225,1.38012,0.370615,0.790104
"Congenital heart anomalies","Males","60-64 years",82.2341,1.80789,0.467454,1.02917
"Congenital heart anomalies","Males","65-69 years",68.6864,1.98365,0.617574,1.20156
"Congenital heart anomalies","Males","70-74 years",70.4103,2.7077,0.949613,1.68657
"Congenital heart anomalies","Males","75-79 years",88.4967,4.03992,1.68836,2.80312
"Congenital heart anomalies","Males","80+ years",418.582,15.6895,4.6115,10.0402
"Congenital heart anomalies","Females","0-6 days",236.056,1092.31,285.877,587.336
"Congenital heart anomalies","Females","7-27 days",159.247,209.189,70.2108,132.34
"Congenital heart anomalies","Females","28-364 days",283.693,24.281,8.13731,14.7478
"Congenital heart anomalies","Females","1-4 years",124.432,3.19761,0.743268,1.51794
"Congenital heart anomalies","Females","5-9 years",34.906,0.673283,0.143084,0.348166
"Congenital heart anomalies","Females","10-14 years",36.4195,0.669723,0.159603,0.377552
"Congenital heart anomalies","Females","15-19 years",47.3339,0.892129,0.205357,0.462808
"Congenital heart anomalies","Females","20-24 years",51.4799,1.01386,0.190719,0.498268
"Congenital heart anomalies","Females","25-29 years",52.7517,1.02276,0.185215,0.511688
"Congenital heart anomalies","Females","30-34 years",46.8333,1.05684,0.157668,0.474485
"Congenital heart anomalies","Females","35-39 years",55.0583,1.34859,0.197921,0.555902
"Congenital heart anomalies","Females","40-44 years",67.7158,1.32404,0.271333,0.651233
"Congenital heart anomalies","Females","45-49 years",78.4265,1.33558,0.293488,0.689849
"Congenital heart anomalies","Females","50-54 years",76.6836,1.16256,0.314273,0.683671
"Congenital heart anomalies","Females","55-59 years",74.9903,1.26542,0.378647,0.749608
"Congenital heart anomalies","Females","60-64 years",80.5271,1.68916,0.454168,0.930215
"Congenital heart anomalies","Females","65-69 years",78.5377,1.96112,0.61528,1.21423
"Congenital heart anomalies","Females","70-74 years",89.2788,3.01363,0.971394,1.78351
"Congenital heart anomalies","Females","75-79 years",119.847,4.29084,1.75447,2.8825
