"cause","sex","age","n","rt_upper","rt_lower","rt"
"Ischemic stroke","Males","20-24 years",13.7227,0.205518,0.0683375,0.125983
"Ischemic stroke","Males","25-29 years",17.2437,0.277853,0.0866893,0.15786
"Ischemic stroke","Males","30-34 years",27.9532,0.500586,0.139514,0.273531
"Ischemic stroke","Males","35-39 years",48.0274,0.799361,0.254241,0.476465
"Ischemic stroke","Males","40-44 years",101.964,1.46867,0.626327,0.97582
"Ischemic stroke","Males","45-49 years",219.393,2.7281,1.35038,1.96518
"Ischemic stroke","Males","50-54 years",395.848,4.96266,2.66123,3.6578
"Ischemic stroke","Males","55-59 years",654.459,9.05662,5.15996,6.92942
"Ischemic stroke","Males","60-64 years",1332.53,21.5512,12.4609,16.6768
"Ischemic stroke","Males","65-69 years",1845.25,41.9091,24.6448,32.2798
"Ischemic stroke","Males","70-74 years",3144.51,97.6736,57.3575,75.3217
"Ischemic stroke","Males","75-79 years",6071.95,253.153,145.849,192.328
"Ischemic stroke","Males","80+ years",31186.7,980.976,582.848,748.049
"Ischemic stroke","Females","28-364 days",19.2537,2.14884,0.342242,1.00091
"Ischemic stroke","Females","1-4 years",16.0637,0.430589,0.0729769,0.195961
"Ischemic stroke","Females","5-9 years",6.28947,0.130814,0.0220696,0.0627336
"Ischemic stroke","Females","10-14 years",4.07496,0.0795178,0.0206474,0.0422442
"Ischemic stroke","Females","15-19 years",6.96621,0.132209,0.0292408,0.0681122
"Ischemic stroke","Females","20-24 years",10.5891,0.204677,0.0453908,0.102491
"Ischemic stroke","Females","25-29 years",14.787,0.277862,0.0661702,0.143432
"Ischemic stroke","Females","30-34 years",22.7512,0.389925,0.118223,0.230501
"Ischemic stroke","Females","35-39 years",39.6006,0.702313,0.20532,0.399831
"Ischemic stroke","Females","40-44 years",79.1702,1.18874,0.459396,0.761393
"Ischemic stroke","Females","45-49 years",146.326,1.86007,0.847847,1.2871
"Ischemic stroke","Females","50-54 years",259.573,3.23161,1.59669,2.31422
"Ischemic stroke","Females","55-59 years",407.575,5.53856,2.84584,4.07415
"Ischemic stroke","Females","60-64 years",892.783,14.0306,7.42253,10.3131
"Ischemic stroke","Females","65-69 years",1571.99,33.3291,18.0751,24.3036
"Ischemic stroke","Females","70-74 years",2699.11,71.515,40.3792,53.9199
"Ischemic stroke","Females","75-79 years",7160.24,224.827,133.136,172.215
"Ischemic stroke","Females","80+ years",66981.4,1219.29,727.183,913.433
"Lower respiratory infections","Males","0-6 days",18.3761,93.6427,17.5378,43.596
"Lower respiratory infections","Males","7-27 days",28.893,41.1434,11.6774,22.9028
"Lower respiratory infections","Males","28-364 days",202.505,17.598,5.52653,10.0445
"Lower respiratory infections","Males","1-4 years",97.2703,1.95461,0.577306,1.13298
"Lower respiratory infections","Males","5-9 years",32.5964,0.569786,0.164056,0.310901
"Lower respiratory infections","Males","10-14 years",30.3965,0.540228,0.145827,0.300961
"Lower respiratory infections","Males","15-19 years",59.7743,0.960132,0.293856,0.557
"Lower respiratory infections","Males","20-24 years",106.546,1.65679,0.508588,0.978167
"Lower respiratory infections","Males","25-29 years",132.201,1.97433,0.650229,1.21025
"Lower respiratory infections","Males","30-34 years",159.033,2.53872,0.834168,1.55619
"Lower respiratory infections","Males","35-39 years",230.684,3.53815,1.34842,2.28855
"Lower respiratory infections","Males","40-44 years",413.384,6.59735,2.39176,3.95617
"Lower respiratory infections","Males","45-49 years",666.228,9.0171,3.83685,5.96765
"Lower respiratory infections","Males","50-54 years",1002.13,13.7662,6.05931,9.26016
"Lower respiratory infections","Males","55-59 years",1302.8,19.9652,9.14292,13.7941
"Lower respiratory infections","Males","60-64 years",1773.22,31.6029,15.4519,22.1921
"Lower respiratory infections","Males","65-69 years",2129.04,53.1562,26.2408,37.2442
"Lower respiratory infections","Males","70-74 years",2962.69,104.16,48.1322,70.9665
"Lower respiratory infections","Males","75-79 years",4464.4,205.921,95.4535,141.409
"Lower respiratory infections","Males","80+ years",23759.2,868.352,373.758,569.891
"Lower respiratory infections","Females","0-6 days",14.097,71.0678,15.5537,35.075
"Lower respiratory infections","Females","7-27 days",18.963,28.2402,7.95492,15.7589
"Lower respiratory infections","Females","28-364 days",140.113,12.062,4.01366,7.2838
"Lower respiratory infections","Females","1-4 years",99.4599,2.15299,0.611261,1.21331
